Name,DisplayName,Default,,,Status,DependentServices
RpcEptMapper,RPC Endpoint Mapper,,,,Running,refsdedupsvc;NaturalAuthentication;Schedule;SystemEventsBroker;webthreatdefusersvc_47e64;PrintWorkflowUserSvc_47e64;P9RdrService_47e64;DevicesFlowUserSvc_47e64;DevicePickerUserSvc_47e64;DeviceAssociationBrokerSvc_47e64;CredentialEnrollmentManagerUserSvc_47e64;ConsentUxUserSvc_47e64;CaptureService_47e64;BluetoothUserService_47e64;BcastDVRUserService_47e64;ZTHELPER;XblGameSave;XblAuthManager;McmSvc;wlpasvc;WwanSvc;wuauserv;workfolderssvc;WSearch;wscsvc;WSAIFabricSvc;WpnService;WPDBusEnum;WManSvc;wlidsvc;WlanSvc;wisvc;WinRM;VMUSBArbService;VMAuthdService;Winmgmt;WinDefend;WiaRpc;whesvc;WFDSConMgrSvc;WEPHOSTSVC;webthreatdefusersvc;webthreatdefsvc;wcncsvc;icssvc;Wcmsvc;WbioSrvc;WaaSMedicSvc;VSS;vds;VaultSvc;UsoSvc;TokenBroker;UserManager;TroubleshootingSvc;TrkWks;TextInputManagementService;UmRdpService;TermService;RemoteAccess;RasMan;TapiSrv;SysMain;swprv;StiSvc;camsvc;AppXSvc;StateRepository;sppsvc;Spooler;SmsRouter;smphost;shpamsvc;ShellHWDetection;SessionEnv;SEMgrSvc;SecurityHealthService;SDRSVC;SCPolicySvc;MSDTC;LanmanServer;KtmRm;SamSs;RmSvc;RemoteRegistry;QWAVE;PushToInstall;Appinfo;ProfSvc;PrintWorkflowUserSvc;PrintScanBrokerService;PrintNotify;PrintDeviceConfigurationService;pla;PhoneSvc;PerfHost;perceptionsimulation;PcaSvc;P9RdrService;upnphost;SSDPSRV;NcdAutoSetup;netprofm;Netman;NcaSvc;XboxNetApiSvc;mpssvc;Netlogon;LanmanWorkstation;jhi_service;IpxlatCfgSvc;iphlpsvc;IKEEXT;WinHttpAutoProxySvc;Dnscache;Dhcp;nsi;NgcSvc;NgcCtnrSvc;NetSetupSvc;CDPSvc;NcbService;msiserver;MicrosoftEdgeElevationService;McpManagementService;MapsBroker;LSM;LocalKdc;lltdsvc;LicenseManager;lfsvc;dot3svc;EapHost;KeyIso;InventorySvc;InstallService;gpsvc;FrameServerMonitor;FrameServer;fhsvc;FDResPub;fdPHost;COMSysApp;SENS;EventSystem;EntAppSvc;EFS;edgeupdatem;edgeupdate;DusmSvc;DsmSvc;DoSvc;dmwappushservice;DmEnrollmentSvc;DispBrokerDesktopSvc;DiagTrack;diagsvc;DevicesFlowUserSvc;DevicePickerUserSvc;DeviceAssociationBrokerSvc;defragsvc;dcsvc;applockerfltr;AppIDSvc;CryptSvc;CredentialEnrollmentManagerUserSvc;CoreMessagingRegistrar;ConsentUxUserSvc;ClipSVC;CertPropSvc;CaptureService;BthAvctpSvc;BTAGService;embeddedmode;BrokerInfrastructure;BluetoothUserService;BITS;ZTDNS;wtd;WdNisSvc;WdNisDrv;SharedAccess;PolicyAgent;BFE;BcastDVRUserService;AxInstSV;autotimesvc;AarSvc_47e64;RtkAudioUniversalService;AarSvc;Audiosrv;ApxSvc;RpcSs
RpcLocator,Remote Procedure Call (RPC) Locator,,,,Stopped,
RpcSs,Remote Procedure Call (RPC),,,,Running,webthreatdefusersvc_47e64;PrintWorkflowUserSvc_47e64;P9RdrService_47e64;DevicesFlowUserSvc_47e64;DevicePickerUserSvc_47e64;DeviceAssociationBrokerSvc_47e64;CredentialEnrollmentManagerUserSvc_47e64;ConsentUxUserSvc_47e64;CaptureService_47e64;BluetoothUserService_47e64;BcastDVRUserService_47e64;ZTHELPER;XblGameSave;XblAuthManager;McmSvc;wlpasvc;WwanSvc;wuauserv;workfolderssvc;WSearch;wscsvc;WSAIFabricSvc;WpnService;WPDBusEnum;WManSvc;wlidsvc;WlanSvc;wisvc;WinRM;VMUSBArbService;VMAuthdService;Winmgmt;WinDefend;WiaRpc;whesvc;WFDSConMgrSvc;WEPHOSTSVC;webthreatdefusersvc;webthreatdefsvc;wcncsvc;icssvc;Wcmsvc;WbioSrvc;WaaSMedicSvc;VSS;vds;VaultSvc;UsoSvc;TokenBroker;UserManager;TroubleshootingSvc;TrkWks;TextInputManagementService;UmRdpService;TermService;RemoteAccess;RasMan;TapiSrv;refsdedupsvc;NaturalAuthentication;Schedule;SystemEventsBroker;SysMain;swprv;StiSvc;camsvc;AppXSvc;StateRepository;sppsvc;Spooler;SmsRouter;smphost;shpamsvc;ShellHWDetection;SessionEnv;SEMgrSvc;SecurityHealthService;SDRSVC;SCPolicySvc;MSDTC;LanmanServer;KtmRm;SamSs;RmSvc;RemoteRegistry;QWAVE;PushToInstall;Appinfo;ProfSvc;PrintWorkflowUserSvc;PrintScanBrokerService;PrintNotify;PrintDeviceConfigurationService;pla;PhoneSvc;PerfHost;perceptionsimulation;PcaSvc;P9RdrService;upnphost;SSDPSRV;NcdAutoSetup;netprofm;Netman;NcaSvc;XboxNetApiSvc;mpssvc;Netlogon;LanmanWorkstation;jhi_service;IpxlatCfgSvc;iphlpsvc;IKEEXT;WinHttpAutoProxySvc;Dnscache;Dhcp;nsi;NgcSvc;NgcCtnrSvc;NetSetupSvc;CDPSvc;NcbService;msiserver;MicrosoftEdgeElevationService;McpManagementService;MapsBroker;LSM;LocalKdc;lltdsvc;LicenseManager;lfsvc;dot3svc;EapHost;KeyIso;InventorySvc;InstallService;gpsvc;FrameServerMonitor;FrameServer;fhsvc;FDResPub;fdPHost;COMSysApp;SENS;EventSystem;EntAppSvc;EFS;edgeupdatem;edgeupdate;DusmSvc;DsmSvc;DoSvc;dmwappushservice;DmEnrollmentSvc;DispBrokerDesktopSvc;DiagTrack;diagsvc;DevicesFlowUserSvc;DevicePickerUserSvc;DeviceAssociationBrokerSvc;defragsvc;dcsvc;applockerfltr;AppIDSvc;CryptSvc;CredentialEnrollmentManagerUserSvc;CoreMessagingRegistrar;ConsentUxUserSvc;ClipSVC;CertPropSvc;CaptureService;BthAvctpSvc;BTAGService;embeddedmode;BrokerInfrastructure;BluetoothUserService;BITS;ZTDNS;wtd;WdNisSvc;WdNisDrv;SharedAccess;PolicyAgent;BFE;BcastDVRUserService;AxInstSV;autotimesvc;AarSvc_47e64;RtkAudioUniversalService;AarSvc;Audiosrv;ApxSvc
RtkAudioUniversalService,Realtek Audio Universal Service,,,,Running,
SamSs,Security Accounts Manager,,,,Running,MSDTC;LanmanServer;KtmRm
SCardSvr,Smart Card,,,,Stopped,
ScDeviceEnum,Smart Card Device Enumeration Service,,,,Stopped,
Schedule,Task Scheduler,,,,Running,refsdedupsvc;NaturalAuthentication
SCPolicySvc,Smart Card Removal Policy,,,,Stopped,
SDRSVC,Windows Backup,,,,Stopped,
seclogon,Secondary Log-on,,,,Stopped,
SecurityHealthService,Windows Security Service,,,,Running,
SEMgrSvc,Payments and NFC/SE Manager,,,,Stopped,
SENS,System Event Notification Service,,,,Running,COMSysApp
SensorDataService,Sensor Data Service,,,,Stopped,
SensorService,Sensor Service,,,,Stopped,
SensrSvc,Sensor Monitoring Service,,,,Stopped,
SessionEnv,Remote Desktop Configuration,,,,Stopped,
SharedAccess,Internet Connection Sharing (ICS),,,,Stopped,
ShellHWDetection,Shell Hardware Detection,,,,Running,
shpamsvc,Shared PC Account Manager,,,,Stopped,
smphost,Microsoft Storage Spaces SMP,,,,Stopped,
SmsRouter,Microsoft Windows SMS Router Service.,,,,Stopped,
SNMPTrap,SNMP Trap,,,,Stopped,
Spooler,Print Spooler,,,,Running,
sppsvc,Software Protection,,,,Stopped,
